epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,2352.17,0.79629,0.61419,0.88274,0.60574,0.72228,0.79541,0.53209,1.11424,1.17572,0.90147,0.00104702,0.00104702,0.00404702
99,2370.99,0.76307,0.58947,0.84998,0.60574,0.72228,0.79541,0.53209,1.11424,1.17572,0.90147,0.00103841,0.00103841,0.00303841
100,2386.22,0.73814,0.62759,0.87655,0.64447,0.69652,0.80644,0.53588,1.09607,1.06901,0.89675,0.0010294,0.0010294,0.0020294
101,2412.49,0.74144,0.57252,0.87095,0.64447,0.69652,0.80644,0.53588,1.09607,1.06901,0.89675,0.00102,0.00102,0.00102
102,2428.93,0.78769,0.57643,0.86362,0.54644,0.71001,0.78105,0.52607,1.08024,1.05774,0.89584,0.0010002,0.0010002,0.0010002
103,2447.52,0.71552,0.56197,0.86652,0.54644,0.71001,0.78105,0.52607,1.08024,1.05774,0.89584,0.0009804,0.0009804,0.0009804
104,2467.16,0.74329,0.57317,0.84159,0.67719,0.63023,0.7964,0.52155,1.07653,1.1201,0.89245,0.0009606,0.0009606,0.0009606
105,2487.12,0.79378,0.5945,0.84727,0.67719,0.63023,0.7964,0.52155,1.07653,1.1201,0.89245,0.0009408,0.0009408,0.0009408
106,2510.91,0.73988,0.55837,0.85176,0.70597,0.69535,0.79597,0.55096,1.05956,1.12486,0.88501,0.000921,0.000921,0.000921
107,2536.28,0.76241,0.5809,0.85762,0.70597,0.69535,0.79597,0.55096,1.05956,1.12486,0.88501,0.0009012,0.0009012,0.0009012
108,2562.49,0.69918,0.55547,0.8877,0.62227,0.78072,0.80923,0.56943,1.05983,1.10927,0.88595,0.0008814,0.0008814,0.0008814
109,2587.67,0.72719,0.55019,0.86631,0.62227,0.78072,0.80923,0.56943,1.05983,1.10927,0.88595,0.0008616,0.0008616,0.0008616
110,2607.16,0.74333,0.55777,0.86865,0.63207,0.82896,0.81782,0.56839,1.06349,1.03252,0.88819,0.0008418,0.0008418,0.0008418
111,2627.31,0.7615,0.5957,0.87179,0.63207,0.82896,0.81782,0.56839,1.06349,1.03252,0.88819,0.000822,0.000822,0.000822
112,2647.31,0.78326,0.55491,0.84918,0.63734,0.8189,0.80548,0.56954,1.02454,0.91595,0.88407,0.0008022,0.0008022,0.0008022
113,2668.82,0.75651,0.53356,0.84058,0.63734,0.8189,0.80548,0.56954,1.02454,0.91595,0.88407,0.0007824,0.0007824,0.0007824
114,2685.11,0.74002,0.57634,0.84569,0.69754,0.82151,0.82287,0.55283,0.99849,0.83305,0.88048,0.0007626,0.0007626,0.0007626
115,2703.63,0.71075,0.53569,0.87948,0.69754,0.82151,0.82287,0.55283,0.99849,0.83305,0.88048,0.0007428,0.0007428,0.0007428
116,2728.16,0.77651,0.56127,0.86786,0.6106,0.89009,0.84094,0.55643,0.99173,0.78643,0.8757,0.000723,0.000723,0.000723
117,2746.68,0.74881,0.56469,0.86401,0.6106,0.89009,0.84094,0.55643,0.99173,0.78643,0.8757,0.0007032,0.0007032,0.0007032
118,2763.24,0.68666,0.52852,0.86961,0.63088,0.84292,0.81573,0.55891,1.01569,0.79413,0.87268,0.0006834,0.0006834,0.0006834
119,2782.53,0.68076,0.4886,0.84907,0.63088,0.84292,0.81573,0.55891,1.01569,0.79413,0.87268,0.0006636,0.0006636,0.0006636
120,2804.49,0.7863,0.55979,0.87838,0.64829,0.84161,0.83422,0.57795,1.0027,0.83162,0.868,0.0006438,0.0006438,0.0006438
121,2822.89,0.74388,0.52031,0.87242,0.64829,0.84161,0.83422,0.57795,1.0027,0.83162,0.868,0.000624,0.000624,0.000624
122,2838.69,0.71607,0.55546,0.85376,0.70421,0.82858,0.83308,0.57569,0.98795,0.83706,0.86668,0.0006042,0.0006042,0.0006042
123,2858,0.69744,0.45991,0.85274,0.70421,0.82858,0.83308,0.57569,0.98795,0.83706,0.86668,0.0005844,0.0005844,0.0005844
124,2875.52,0.70961,0.53479,0.85287,0.69116,0.83642,0.83246,0.58003,0.99277,0.80258,0.86647,0.0005646,0.0005646,0.0005646
125,2896.24,0.69512,0.49995,0.85689,0.69116,0.83642,0.83246,0.58003,0.99277,0.80258,0.86647,0.0005448,0.0005448,0.0005448
126,2922.16,0.70579,0.48855,0.84589,0.68138,0.81931,0.82383,0.57987,0.98634,0.75522,0.86798,0.000525,0.000525,0.000525
127,2940.7,0.70325,0.5042,0.85038,0.68138,0.81931,0.82383,0.57987,0.98634,0.75522,0.86798,0.0005052,0.0005052,0.0005052
128,2950.43,0.67338,0.52313,0.82908,0.68957,0.81312,0.80896,0.57303,0.98654,0.73928,0.86756,0.0004854,0.0004854,0.0004854
129,2967.12,0.73439,0.54699,0.86723,0.68957,0.81312,0.80896,0.57303,0.98654,0.73928,0.86756,0.0004656,0.0004656,0.0004656
130,2983.97,0.65983,0.48297,0.83438,0.64528,0.85691,0.824,0.56831,0.98164,0.73924,0.86505,0.0004458,0.0004458,0.0004458
131,3002.23,0.6125,0.48327,0.84049,0.64528,0.85691,0.824,0.56831,0.98164,0.73924,0.86505,0.000426,0.000426,0.000426
132,3020.65,0.68426,0.48808,0.84454,0.6856,0.8472,0.82545,0.57916,0.97407,0.73842,0.85991,0.0004062,0.0004062,0.0004062
133,3040.37,0.68895,0.51284,0.86263,0.6856,0.8472,0.82545,0.57916,0.97407,0.73842,0.85991,0.0003864,0.0003864,0.0003864
134,3060.61,0.71852,0.50279,0.83961,0.67558,0.86191,0.82368,0.57554,0.9684,0.72246,0.85904,0.0003666,0.0003666,0.0003666
135,3082.55,0.69915,0.46457,0.84444,0.67558,0.86191,0.82368,0.57554,0.9684,0.72246,0.85904,0.0003468,0.0003468,0.0003468
136,3097.82,0.67444,0.45771,0.86116,0.66014,0.87804,0.83285,0.59314,0.96436,0.71186,0.85869,0.000327,0.000327,0.000327
137,3118.51,0.66297,0.48406,0.84007,0.66014,0.87804,0.83285,0.59314,0.96436,0.71186,0.85869,0.0003072,0.0003072,0.0003072
138,3138.79,0.66191,0.4714,0.8475,0.67114,0.88104,0.83362,0.59783,0.94597,0.69895,0.8568,0.0002874,0.0002874,0.0002874
139,3160.27,0.60011,0.4359,0.85044,0.67114,0.88104,0.83362,0.59783,0.94597,0.69895,0.8568,0.0002676,0.0002676,0.0002676
140,3185.76,0.62064,0.44124,0.84987,0.67189,0.8798,0.83158,0.59805,0.95021,0.69529,0.85684,0.0002478,0.0002478,0.0002478
141,3230.28,0.64206,0.44614,0.84156,0.67189,0.8798,0.83158,0.59805,0.95021,0.69529,0.85684,0.000228,0.000228,0.000228
142,3265.55,0.633,0.44297,0.82984,0.66037,0.87447,0.83236,0.6018,0.95875,0.69,0.85937,0.0002082,0.0002082,0.0002082
143,3282.24,0.65598,0.45407,0.84359,0.66037,0.87447,0.83236,0.6018,0.95875,0.69,0.85937,0.0001884,0.0001884,0.0001884
144,3307.15,0.61918,0.43255,0.83142,0.67142,0.87003,0.83488,0.59489,0.96519,0.6802,0.86047,0.0001686,0.0001686,0.0001686
145,3322.97,0.62961,0.43155,0.83304,0.67142,0.87003,0.83488,0.59489,0.96519,0.6802,0.86047,0.0001488,0.0001488,0.0001488
146,3339.12,0.61951,0.43134,0.83829,0.697,0.8611,0.85092,0.60304,0.9565,0.66398,0.85972,0.000129,0.000129,0.000129
147,3359.11,0.621,0.4433,0.83077,0.697,0.8611,0.85092,0.60304,0.9565,0.66398,0.85972,0.0001092,0.0001092,0.0001092
148,3370.45,0.61754,0.42438,0.85082,0.71366,0.84944,0.84973,0.60614,0.94882,0.65445,0.85916,8.94e-05,8.94e-05,8.94e-05
149,3388.03,0.61987,0.42383,0.8505,0.71366,0.84944,0.84973,0.60614,0.94882,0.65445,0.85916,6.96e-05,6.96e-05,6.96e-05
150,3408.26,0.59835,0.41351,0.83542,0.71293,0.85256,0.85066,0.5981,0.94167,0.65487,0.85662,4.98e-05,4.98e-05,4.98e-05
